BlobID,Time,x,y
1,0.05,360,665
1,0.1,363,666
1,0.15,363,666
1,0.2,361,665
1,0.25,362,665
1,0.3,357,667
1,0.35,357,667
1,0.4,358,668
1,0.45,359,668
1,0.5,358,669
1,0.55,357,669
1,0.6,356,671
1,0.65,356,671
1,0.7,354,677
1,0.75,355,679
1,0.8,353,681
1,0.85,352,683
1,0.9,351,685
1,0.95,358,670
1,1.0,359,667
1,1.05,358,667
1,1.1,359,665
1,1.15,358,666
1,1.2,357,667
1,1.25,357,667
1,1.3,357,666
1,1.35,358,667
1,1.4,358,665
1,1.45,358,664
1,1.5,358,663
1,1.55,359,662
1,1.6,359,661
1,1.65,359,660
1,1.7,357,664
1,1.75,357,664
1,1.8,360,661
1,1.85,362,664
1,1.9,363,667
1,1.95,363,667
1,2.0,364,670
1,2.05,363,669
1,2.1,363,668
1,2.15,362,668
1,2.2,363,667
1,2.25,364,667
1,2.3,364,667
1,2.35,361,668
1,2.4,360,668
1,2.45,359,668
1,2.5,359,668
1,2.55,358,668
1,2.6,352,675
1,2.65,350,677
1,2.7,358,686
1,2.75,359,690
1,2.8,361,694
1,2.85,359,683
1,2.9,359,683
1,2.95,359,683
1,3.0,362,684
1,3.05,364,685
1,3.1,365,685
1,3.15,366,685
1,3.2,367,686
1,3.25,370,689
1,3.3,371,690
1,3.35,366,684
1,3.4,364,680
1,3.45,362,679
1,3.5,363,678
1,3.55,363,683
1,3.6,365,686
1,3.65,367,687
1,3.7,368,689
1,3.75,369,690
1,3.8,369,692
1,3.85,370,693
1,3.9,371,695
1,3.95,372,696
1,4.0,372,681
1,4.05,375,677
1,4.1,377,675
1,4.15,378,674
1,4.2,378,669
1,4.25,380,668
1,4.3,377,667
1,4.35,378,665
1,4.4,380,665
1,4.45,379,663
1,4.5,378,663
1,4.55,377,662
1,4.6,383,672
1,4.65,384,676
1,4.7,385,677
1,4.75,386,679
1,4.8,377,681
1,4.85,372,682
1,4.9,372,683
1,4.95,373,684
1,5.0,372,685
1,5.05,375,683
1,5.1,376,682
1,5.15,381,681
1,5.2,384,680
1,5.25,386,680
1,5.3,385,682
1,5.35,385,683
1,5.4,385,685
1,5.45,385,685
1,5.5,386,685
1,5.55,386,684
1,5.6,386,683
1,5.65,385,683
1,5.7,385,684
1,5.75,385,684
1,5.8,385,685
1,5.85,385,687
1,5.9,386,688
1,5.95,386,689
1,6.0,387,689
1,6.05,387,690
1,6.1,387,691
1,6.15,386,686
1,6.2,386,686
1,6.25,386,685
1,6.3,386,684
1,6.35,390,683
1,6.4,389,681
1,6.45,389,680
1,6.5,390,679
1,6.55,389,682
1,6.6,389,682
1,6.65,389,682
1,6.7,392,684
1,6.75,390,681
1,6.8,388,679
1,6.85,387,677
1,6.9,387,677
1,6.95,386,676
1,7.0,385,675
1,7.05,390,675
1,7.1,390,676
1,7.15,390,676
1,7.2,389,677
1,7.25,390,678
1,7.3,392,675
1,7.35,389,677
1,7.4,389,678
1,7.45,391,674
1,7.5,392,674
1,7.55,393,673
1,7.6,394,682
1,7.65,394,680
1,7.7,392,680
1,7.75,391,681
1,7.8,391,680
1,7.85,391,683
1,7.9,391,685
1,7.95,392,685
1,8.0,399,686
1,8.05,397,687
1,8.1,398,687
1,8.15,399,689
1,8.2,398,688
1,8.25,400,687
1,8.3,401,687
1,8.35,402,687
1,8.4,400,684
1,8.45,401,684
1,8.5,401,684
1,8.55,402,685
1,8.6,402,685
1,8.65,402,682
1,8.7,402,681
1,8.75,403,678
1,8.8,403,676
1,8.85,403,673
1,8.9,403,672
1,8.95,403,672
1,9.0,400,668
1,9.05,400,667
1,9.1,399,667
1,9.15,398,670
1,9.2,398,671
1,9.25,401,672
1,9.3,400,673
1,9.35,403,673
1,9.4,404,674
1,9.45,406,676
1,9.5,408,676
1,9.55,410,677
1,9.6,411,677
1,9.65,413,677
1,9.7,411,672
1,9.75,410,673
1,9.8,411,672
1,9.85,401,670
1,9.9,406,671
1,9.95,407,669
1,10.0,408,669
1,10.05,409,668
1,10.1,412,670
1,10.15,412,668
1,10.2,414,669
1,10.25,415,671
1,10.3,415,671
1,10.35,416,671
1,10.4,416,671
1,10.45,417,671
1,10.5,411,666
1,10.55,409,665
1,10.6,410,666
1,10.65,410,666
1,10.7,409,665
1,10.75,411,667
1,10.8,412,670
1,10.85,412,670
1,10.9,413,671
1,10.95,410,667
1,11.0,414,667
1,11.05,416,667
1,11.1,418,669
1,11.15,419,670
1,11.2,420,670
1,11.25,406,672
1,11.3,403,669
1,11.35,400,668
1,11.4,398,668
1,11.45,395,667
1,11.5,403,666
1,11.55,401,667
1,11.6,401,667
1,11.65,400,667
1,11.7,415,676
1,11.75,418,678
1,11.8,420,677
1,11.85,422,672
1,11.9,423,669
2,0.05,364,678
2,0.1,363,677
2,0.15,364,678
2,0.2,364,677
2,0.25,362,678
2,0.3,361,678
2,0.35,360,678
2,0.4,362,676
2,0.45,360,675
2,0.5,357,674
2,0.55,356,673
2,0.6,355,672
2,0.65,354,672
2,0.7,358,673
2,0.75,358,671
2,0.8,357,672
2,0.85,357,672
2,0.9,356,672
2,0.95,354,671
2,1.0,353,673
2,1.05,352,675
2,1.1,351,676
2,1.15,348,673
2,1.2,348,674
2,1.25,347,674
2,1.3,346,674
2,1.35,344,674
2,1.4,345,663
2,1.45,344,660
2,1.5,343,657
2,1.55,350,671
2,1.6,352,672
2,1.65,353,674
2,1.7,354,675
2,1.75,354,673
2,1.8,355,674
2,1.85,357,675
2,1.9,358,676
2,1.95,359,677
2,2.0,360,677
2,2.05,364,673
2,2.1,362,675
2,2.15,362,675
2,2.2,362,675
2,2.25,362,677
2,2.3,362,678
2,2.35,363,678
2,2.4,363,679
2,2.45,363,680
2,2.5,363,681
2,2.55,360,675
2,2.6,360,676
2,2.65,361,675
2,2.7,361,675
2,2.75,363,672
2,2.8,362,670
2,2.85,361,671
2,2.9,360,671
2,2.95,361,671
2,3.0,361,671
2,3.05,361,671
2,3.1,361,671
2,3.15,361,671
2,3.2,364,673
2,3.25,364,672
2,3.3,366,672
2,3.35,369,671
2,3.4,371,671
2,3.45,368,674
2,3.5,369,675
2,3.55,369,674
2,3.6,370,672
2,3.65,372,673
2,3.7,374,674
2,3.75,375,675
2,3.8,376,675
2,3.85,378,676
2,3.9,376,670
2,3.95,374,668
2,4.0,376,670
2,4.05,373,669
2,4.1,372,668
2,4.15,380,672
2,4.2,383,676
2,4.25,382,678
2,4.3,383,680
2,4.35,384,682
2,4.4,376,679
2,4.45,375,679
2,4.5,377,680
2,4.55,376,681
2,4.6,378,680
2,4.65,380,679
2,4.7,377,680
2,4.75,377,679
2,4.8,379,678
2,4.85,380,676
2,4.9,380,675
2,4.95,382,672
2,5.0,384,674
2,5.05,386,675
2,5.1,389,675
2,5.15,389,675
2,5.2,390,674
2,5.25,390,675
2,5.3,389,674
2,5.35,390,673
2,5.4,390,671
2,5.45,392,672
2,5.5,393,671
2,5.55,394,671
2,5.6,393,676
2,5.65,394,677
2,5.7,393,678
2,5.75,394,679
2,5.8,391,679
2,5.85,390,679
2,5.9,390,680
2,5.95,388,676
2,6.0,390,674
2,6.05,389,672
2,6.1,391,671
2,6.15,391,670
2,6.2,390,670
2,6.25,389,670
2,6.3,387,669
2,6.35,388,668
2,6.4,389,667
2,6.45,390,668
